"last_name, first_name",player_id,year,woba
"Stubbs, Garrett",596117,2024,0.267
"Casas, Triston",671213,2024,0.347
"Martini, Nick",605361,2024,0.278
"Langeliers, Shea",669127,2024,0.309
"Kirk, Alejandro",672386,2024,0.289
"Margot, Manuel",622534,2024,0.287
"Biggio, Cavan",624415,2024,0.287
"Walker, Christian",572233,2024,0.347
"Donovan, Brendan",680977,2024,0.319
"Taylor, Michael A.",572191,2024,0.236
"Martinez, J.D.",502110,2024,0.338
"Slater, Austin",596103,2024,0.272
"Gomes, Yan",543228,2024,0.184
"Rizzo, Anthony",519203,2024,0.283
"Cruz, Oneil",665833,2024,0.34
"Caratini, Victor",605170,2024,0.33
"LeMahieu, DJ",518934,2024,0.238
"Winker, Jesse",608385,2024,0.351
"Schuemann, Max",680474,2024,0.293
"Ward, Taylor",621493,2024,0.315
"Bart, Joey",663698,2024,0.363
"Wade, Tyler",642180,2024,0.246
"Kelly, Carson",608348,2024,0.321
"Bride, Jonah",681146,2024,0.327
"Rocchio, Brayan",677587,2024,0.271
"Bailey, Patrick",672275,2024,0.276
"Pérez, Wenceel",672761,2024,0.298
"Grandal, Yasmani",518735,2024,0.282
"Giménez, Andrés",665926,2024,0.281
"Bryant, Kris",592178,2024,0.287
"Raleigh, Cal",663728,2024,0.307
"Haniger, Mitch",571745,2024,0.279
"Rooker Jr., Brent",667670,2024,0.4
"Soderstrom, Tyler",691016,2024,0.309
"Schwarber, Kyle",656941,2024,0.353
"Carter, Evan",694497,2024,0.278
"Norby, Connor",681393,2024,0.357
"Knizner, Andrew",668800,2024,0.174
"Jones, Nolan",666134,2024,0.284
"Mead, Curtis",678554,2024,0.255
"Montero, Elehuris",660707,2024,0.254
"Adams, Riley",656180,2024,0.275
"Wallner, Matt",670242,2024,0.403
"Singleton, Jon",572138,2024,0.307
"Lee, Jung Hoo",808982,2024,0.284
"Perkins, Blake",663368,2024,0.315
"Williams, Alika",675961,2024,0.235
"Rutschman, Adley",668939,2024,0.317
"Reynolds, Bryan",668804,2024,0.349
"Calhoun, Willie",641432,2024,0.304
"Goodman, Hunter",696100,2024,0.252
"Robert Jr., Luis",673357,2024,0.289
"Beck, Jordan",687597,2024,0.248
"O'Hoppe, Logan",681351,2024,0.305
"Yelich, Christian",592885,2024,0.391
"Friedl Jr., TJ",670770,2024,0.302
"Cabrera, Oswaldo",665828,2024,0.286
"Sánchez, Ali",645305,2024,0.184
"Wisdom, Patrick",621550,2024,0.3
"Meneses, Joey",608841,2024,0.264
"Lowe, Nathaniel",663993,2024,0.322
"Gallo, Joey",608336,2024,0.276
"Arcia, Orlando",606115,2024,0.279
"Gonzales, Nick",693304,2024,0.294
"Arozarena, Randy",668227,2024,0.321
"Baty, Brett",683146,2024,0.282
"Jung, Josh",673962,2024,0.299
"DeJong, Paul",657557,2024,0.317
"Doyle, Brenton",686668,2024,0.347
"Judge, Aaron",592450,2024,0.48
